index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
253,85,0.60993302,4.44,25.97,25.97,24.584,3,9.23,1.575,0.205167474
254,85,0.60993302,4.44,25.97,25.97,24.584,3,6.9225,3.425,0.153452637
255,85,0.60993302,4.44,25.97,25.97,24.584,3,20.7675,3.425,0.188403288
256,86,0.60993302,4.44,25.97,25.97,26.112,3,9.23,1.575,0.207143226
257,86,0.60993302,4.44,25.97,25.97,26.112,3,6.9225,3.425,0.151329051
258,86,0.60993302,4.44,25.97,25.97,26.112,3,20.7675,3.425,0.202578233
259,87,0.60993302,4.44,25.97,25.97,27.501,3,9.23,1.575,0.196897678
260,87,0.60993302,4.44,25.97,25.97,27.501,3,6.9225,3.425,0.158368629
261,87,0.60993302,4.44,25.97,25.97,27.501,3,20.7675,3.425,0.193280187
262,88,0.60993302,4.44,28.06,28.06,24.584,3,9.23,1.575,0.209993537
263,88,0.60993302,4.44,28.06,28.06,24.584,3,6.9225,3.425,0.169078529
264,88,0.60993302,4.44,28.06,28.06,24.584,3,20.7675,3.425,0.183761191
265,89,0.60993302,4.44,28.06,28.06,26.112,3,9.23,1.575,0.207521089
266,89,0.60993302,4.44,28.06,28.06,26.112,3,6.9225,3.425,0.160826515
267,89,0.60993302,4.44,28.06,28.06,26.112,3,20.7675,3.425,0.18061329
268,90,0.60993302,4.44,28.06,28.06,27.501,3,9.23,1.575,0.208048671
269,90,0.60993302,4.44,28.06,28.06,27.501,3,6.9225,3.425,0.172974862
270,90,0.60993302,4.44,28.06,28.06,27.501,3,20.7675,3.425,0.194704999
271,91,0.60993302,8.61,23.89,23.89,26.664,3,9.23,1.575,0.192604147
272,91,0.60993302,8.61,23.89,23.89,26.664,3,6.9225,3.425,0.145968498
273,91,0.60993302,8.61,23.89,23.89,26.664,3,20.7675,3.425,0.199197792
274,92,0.60993302,8.61,23.89,23.89,28.192,3,9.23,1.575,0.194189738
275,92,0.60993302,8.61,23.89,23.89,28.192,3,6.9225,3.425,0.156219333
276,92,0.60993302,8.61,23.89,23.89,28.192,3,20.7675,3.425,0.192268375
277,93,0.60993302,8.61,23.89,23.89,29.581,3,9.23,1.575,0.185322424
278,93,0.60993302,8.61,23.89,23.89,29.581,3,6.9225,3.425,0.163231208
279,93,0.60993302,8.61,23.89,23.89,29.581,3,20.7675,3.425,0.181582689
280,94,0.60993302,8.61,25.97,25.97,26.664,3,9.23,1.575,0.193475766
281,94,0.60993302,8.61,25.97,25.97,26.664,3,6.9225,3.425,0.166890092
282,94,0.60993302,8.61,25.97,25.97,26.664,3,20.7675,3.425,0.197443614
283,95,0.60993302,8.61,25.97,25.97,28.192,3,9.23,1.575,0.19785204
284,95,0.60993302,8.61,25.97,25.97,28.192,3,6.9225,3.425,0.161214709
285,95,0.60993302,8.61,25.97,25.97,28.192,3,20.7675,3.425,0.189029218
286,96,0.60993302,8.61,25.97,25.97,29.581,3,9.23,1.575,0.193277022
287,96,0.60993302,8.61,25.97,25.97,29.581,3,6.9225,3.425,0.15161742
288,96,0.60993302,8.61,25.97,25.97,29.581,3,20.7675,3.425,0.211488792
289,97,0.60993302,8.61,28.06,28.06,26.664,3,9.23,1.575,0.190246013
290,97,0.60993302,8.61,28.06,28.06,26.664,3,6.9225,3.425,0.161020229
291,97,0.60993302,8.61,28.06,28.06,26.664,3,20.7675,3.425,0.183512824
292,98,0.60993302,8.61,28.06,28.06,28.192,3,9.23,1.575,0.191293109
293,98,0.60993302,8.61,28.06,28.06,28.192,3,6.9225,3.425,0.164358158
294,98,0.60993302,8.61,28.06,28.06,28.192,3,20.7675,3.425,0.210616688
295,99,0.60993302,8.61,28.06,28.06,29.581,3,9.23,1.575,0.19905492
296,99,0.60993302,8.61,28.06,28.06,29.581,3,6.9225,3.425,0.158467295
297,99,0.60993302,8.61,28.06,28.06,29.581,3,20.7675,3.425,0.191105144
298,100,0.60993302,12.78,23.89,23.89,28.754,3,9.23,1.575,0.184569514
299,100,0.60993302,12.78,23.89,23.89,28.754,3,6.9225,3.425,0.173389552
300,100,0.60993302,12.78,23.89,23.89,28.754,3,20.7675,3.425,0.176968603
301,101,0.60993302,12.78,23.89,23.89,30.282,3,9.23,1.575,0.178574226
302,101,0.60993302,12.78,23.89,23.89,30.282,3,6.9225,3.425,0.175344662
303,101,0.60993302,12.78,23.89,23.89,30.282,3,20.7675,3.425,0.177866615
304,102,0.60993302,12.78,23.89,23.89,31.671,3,9.23,1.575,0.181822849
305,102,0.60993302,12.78,23.89,23.89,31.671,3,6.9225,3.425,0.185500988
306,102,0.60993302,12.78,23.89,23.89,31.671,3,20.7675,3.425,0.174662892
307,103,0.60993302,12.78,25.97,25.97,28.754,3,9.23,1.575,0.193287037
308,103,0.60993302,12.78,25.97,25.97,28.754,3,6.9225,3.425,0.140645432
309,103,0.60993302,12.78,25.97,25.97,28.754,3,20.7675,3.425,0.180908761
310,104,0.60993302,12.78,25.97,25.97,30.282,3,9.23,1.575,0.186215902
311,104,0.60993302,12.78,25.97,25.97,30.282,3,6.9225,3.425,0.150058793
312,104,0.60993302,12.78,25.97,25.97,30.282,3,20.7675,3.425,0.170720133
313,105,0.60993302,12.78,25.97,25.97,31.671,3,9.23,1.575,0.18480818
314,105,0.60993302,12.78,25.97,25.97,31.671,3,6.9225,3.425,0.149492226
315,105,0.60993302,12.78,25.97,25.97,31.671,3,20.7675,3.425,0.178503497
316,106,0.60993302,12.78,28.06,28.06,28.754,3,9.23,1.575,0.193608263
317,106,0.60993302,12.78,28.06,28.06,28.754,3,6.9225,3.425,0.146516695
318,106,0.60993302,12.78,28.06,28.06,28.754,3,20.7675,3.425,0.174015526
319,107,0.60993302,12.78,28.06,28.06,30.282,3,9.23,1.575,0.187695569
320,107,0.60993302,12.78,28.06,28.06,30.282,3,6.9225,3.425,0.154963805
321,107,0.60993302,12.78,28.06,28.06,30.282,3,20.7675,3.425,0.17147997
322,108,0.60993302,12.78,28.06,28.06,31.671,3,9.23,1.575,0.198866382
