index,sim,tem,mass,n,occ,x,y,V
510,171,14,26,25,3,7.185,5.8,0.075917043
511,171,14,26,25,3,10.185,3.8,0.077115583
512,171,14,26,25,3,13.175,5.8,0.081303499
513,172,21,11,24,3,7.185,5.8,0.119498368
514,172,21,11,24,3,10.185,3.8,0.100751847
515,172,21,11,24,3,13.175,5.8,0.097940649
516,173,18,14,22,3,7.185,5.8,0.113322044
517,173,18,14,22,3,10.185,3.8,0.097314599
518,173,18,14,22,3,13.175,5.8,0.095078628
519,174,22,11,23,3,7.185,5.8,0.112665783
520,174,22,11,23,3,10.185,3.8,0.09835122
521,174,22,11,23,3,13.175,5.8,0.098352164
522,175,22,3,26,3,7.185,5.8,0.108439432
523,175,22,3,26,3,10.185,3.8,0.113522884
524,175,22,3,26,3,13.175,5.8,0.10199346
525,176,22,20,25,3,7.185,5.8,0.092063009
526,176,22,20,25,3,10.185,3.8,0.085926084
527,176,22,20,25,3,13.175,5.8,0.092797718
528,177,15,11,27,3,7.185,5.8,0.084434396
529,177,15,11,27,3,10.185,3.8,0.105570073
530,177,15,11,27,3,13.175,5.8,0.093863143
531,178,16,1,28,3,7.185,5.8,0.12556357
